session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,68.800000,16,0.789742,0.629602,0.530681,1.416738,0.830988,0.188499,0.364371,0.517328,0.058730,0.163124,0.360031,0.000000,0.000000,0.263121,0.000000,0.000000,1.426132,0.106593,0.460166
hp_blink_20260617_190655,63.350000,16,0.240669,0.035728,0.678519,1.287122,0.356024,0.255747,0.941629,0.271600,0.255176,0.927341,0.275170,0.257701,0.927645,0.277801,0.007393,0.151641,0.048756,0.106593,0.460166
hp_blink_20260617_190655,71.100000,16,1.374652,0.904583,1.498815,1.397614,0.562747,0.000000,0.000000,0.355043,0.000000,0.000000,0.141544,0.000000,0.000000,0.141544,0.000000,0.000000,0.088378,0.106593,0.460166
hp_blink_20260617_190655,69.250000,16,0.979068,0.450728,0.371231,1.416738,0.791719,0.117024,0.356477,0.328279,0.000000,0.000000,0.328279,0.000000,0.000000,0.387981,0.000000,0.000000,0.343668,0.106593,0.460166
hp_blink_20260617_190655,0.600000,16,2.190231,1.858321,0.915166,1.030724,0.627144,0.000000,0.000000,0.719168,0.000000,0.000000,0.622774,0.000000,0.000000,0.622774,0.000000,0.000000,1.339731,0.106593,0.460166
hp_blink_20260617_190655,1.350000,16,1.776450,1.554542,0.914089,1.072227,0.515729,0.000000,0.000000,0.629209,0.000000,0.000000,0.024105,0.000000,0.000000,0.024105,0.000000,0.000000,0.244500,0.106593,0.460166
hp_blink_20260617_190655,70.250000,16,1.321931,0.425380,0.840096,1.218034,0.544490,0.000000,0.000000,0.471316,0.000000,0.000000,0.057975,0.000000,0.000000,0.018694,0.000000,0.000000,0.782159,0.106593,0.460166
hp_blink_20260617_214655,79.300000,16,2.244051,1.262285,0.652193,1.022380,0.687996,0.000000,0.000000,0.071987,0.000000,0.000000,0.579381,0.023035,0.036058,0.638835,0.000000,0.000000,0.032045,0.002389,1.255979
hp_blink_20260617_214655,714.150000,16,2.187092,1.814861,0.119928,0.947015,0.567515,0.000000,0.000000,0.906390,0.000000,0.000000,0.636705,0.000000,0.000000,0.636705,0.324651,0.152738,2.125539,0.002389,1.255979
hp_blink_20260617_214655,82.350000,16,1.643092,1.181447,0.040512,0.980705,0.591491,0.138669,0.425565,0.325847,0.002819,0.005837,0.482968,0.000037,0.010248,0.003650,0.000000,0.000000,1.785695,0.002389,1.255979
hp_blink_20260617_214655,604.000000,16,2.864241,1.841923,0.099585,1.333334,0.588634,0.005261,0.290309,0.018122,0.004587,0.042680,0.107465,0.048694,0.176260,0.276262,0.165935,0.141058,1.176360,0.002389,1.255979
hp_blink_20260617_214655,405.000000,16,2.525254,2.164099,0.001114,1.060094,0.507268,0.035622,0.248832,0.143157,0.081734,0.117781,0.693946,0.000000,0.000000,0.446214,0.000000,0.000000,1.725361,0.002389,1.255979
hp_blink_20260617_214655,399.600000,16,2.303836,1.534154,0.113631,1.014013,0.539936,0.000000,0.000000,1.314345,0.000000,0.000000,0.483707,0.000000,0.000000,0.115883,0.000000,0.000000,0.063432,0.002389,1.255979
hp_blink_20260617_214655,643.700000,16,2.455850,1.734072,0.051632,1.013163,0.594248,0.000000,0.000000,0.358248,0.000000,0.000000,0.876261,0.000000,0.000000,0.876261,0.000000,0.000000,0.273354,0.002389,1.255979
hp_blink_20260617_214655,86.900000,16,2.927926,1.983396,0.105198,1.035818,0.634127,0.000000,0.000000,1.004582,0.000000,0.000000,1.004582,0.000000,0.000000,0.759302,0.000000,0.000000,1.122719,0.002389,1.255979
hp_blink_20260617_214655,185.950000,16,2.932564,1.882331,0.003017,1.090629,0.527816,0.000000,0.000000,0.674310,0.000000,0.000000,0.674310,0.000000,0.000000,0.667163,0.000000,0.000000,0.224833,0.002389,1.255979
hp_blink_20260617_214655,792.400000,16,2.312056,1.522450,0.112363,0.993614,0.578072,0.000104,0.006692,0.015606,0.000673,0.043129,0.015606,0.000000,0.000000,0.015606,0.000000,0.000000,0.010336,0.002389,1.255979
